PlayerName,prog_1,prog_2,prog_3,prog_4,prog_5,prog_6,prog_7,prog_8,prog_9,prog_10,prog_11,prog_12,prog_13,prog_14,prog_15,prog_16,prog_17,prog_18,prog_19,prog_20,prog_21,prog_22,prog_23,prog_24,prog_25,prog_26,prog_27,prog_28,prog_29,prog_30,prog_31,prog_32,prog_33,prog_34,prog_35,prog_36,prog_37,prog_38,prog_39,prog_40,prog_41,prog_42,prog_43,prog_44,prog_45,prog_46,prog_47,prog_48,prog_49,prog_50,prog_51,prog_52,prog_53,prog_54
Garcia John,3.4788,3.462,3.4474,3.4642,3.4757,3.498,3.4751,3.4818,3.4586,3.4646,3.4646,3.4578,3.4307,3.4226,3.4482,3.438,3.4645,3.4523,3.4424,3.4252,3.435,3.4183,3.4064,3.3915,3.3882,3.3864,3.3829,3.3809,3.3779,3.3762,,,,,,,,,,,,,,,,,,,,,,,,
Whittington Richard,4.0816,4.12,4.1504,4.1753,4.2039,4.221,4.2457,4.2584,4.2761,4.2568,4.2807,4.3043,4.3113,4.3522,4.3572,4.3285,4.3335,4.3635,4.3184,4.3499,4.3117,4.3175,4.3302,4.3357,4.3459,4.3406,4.3317,4.3384,4.3408,4.3474,4.3497,4.3563,4.3584,4.3276,4.2811,4.3279,4.2834,4.2383,4.2663,4.2427,4.2707,4.294,,,,,,,,,,,,
Legg Donald,4.4812,4.522,4.5541,4.5638,4.5702,4.5775,4.584,4.5899,4.5964,4.6348,4.647,4.6737,4.682,4.7017,4.7075,4.7269,4.7339,4.7516,4.758,4.7743,4.78,4.8251,4.8437,4.8122,4.8297,4.8679,4.8817,4.88,4.9004,4.9019,4.8842,4.8827,4.862,4.8786,4.8806,4.8636,4.8653,4.8878,4.8891,4.8909,4.8924,4.894,4.8953,4.8968,4.8983,4.8991,4.9258,4.9265,4.9491,4.9497,4.9692,,,
Campbell Tony,4.5854,4.6142,4.6295,4.6542,4.6678,4.6678,4.6505,4.6604,4.6817,4.6718,4.6512,4.6653,4.6933,4.7014,4.7208,4.729,4.7155,4.7247,4.7658,4.7468,4.7807,4.8032,4.8289,4.8093,4.823,4.8301,4.8203,4.8279,4.8402,4.8474,4.8486,4.8401,4.8413,4.8495,4.8483,4.857,4.8681,4.8899,4.8974,4.9167,4.9223,4.905,4.9195,4.9281,4.943,4.9492,4.9602,4.9557,,,,,,
Dicomitis Beth,4.4024,4.4413,4.4495,4.4774,4.4838,4.5047,4.5367,4.5834,4.6283,4.5865,4.6353,4.5924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owens Brian,4.3828,4.4254,4.402,4.435,4.4615,4.4615,4.4432,4.4817,4.4981,4.4711,4.4887,4.4562,4.4179,4.3784,4.4028,4.354,4.3768,4.3398,4.3528,4.3927,4.3826,4.3519,4.3398,4.3801,4.3664,4.3194,4.3292,4.3725,4.3602,4.3121,4.2924,4.3096,4.2925,4.3092,4.2941,4.309,4.3472,4.365,4.409,4.4216,4.4621,4.4715,4.4445,4.4752,4.5087,4.463,4.435,4.4642,4.4422,4.4581,4.4779,4.489,4.4654,4.4778
Dodge Greg,4.111,4.1297,4.146,4.1041,4.1469,4.188,4.2167,4.1908,4.2162,4.2419,4.2703,4.2472,4.2703,4.2423,4.2625,4.2508,4.2586,4.2464,4.2401,4.2401,4.2458,4.218,4.2536,4.2279,4.1891,4.1707,4.2014,4.1599,4.1695,4.121,4.1318,4.1746,4.1829,4.1663,4.2083,4.2253,4.268,4.2455,4.2075,4.2135,4.2322,4.2373,4.2531,4.2576,4.2712,4.3187,4.3212,4.2747,4.2777,4.3176,4.32,,,
Armstrong Richard,4.6086,4.5695,4.5542,4.5792,4.5656,4.5656,4.6133,4.5947,4.6304,4.6475,4.6226,4.6417,4.6815,4.721,4.7696,4.8184,4.8493,4.8863,4.9111,4.9044,4.9227,4.9167,4.8983,4.9051,4.9267,4.9314,4.9099,4.9145,4.8924,4.8969,4.9337,4.9753,4.9976,4.949,4.9694,5.0053,4.9632,4.9934,5.0381,5.0807,5.0455,5.095,5.117,5.1188,5.099,5.101,5.1246,5.1263,,,,,,
Woolley Cheryl,3.8494,3.8616,3.8883,3.8966,3.9163,3.9221,3.9511,3.9771,3.997,3.9715,3.9777,3.9496,3.9562,3.9247,3.9319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacre Darrin,4.4604,4.4993,4.5075,4.5354,4.5418,4.5627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deberadinis David,4.3688,4.328,4.2959,4.3378,4.2897,4.2486,4.2089,4.2348,4.2658,4.2287,4.248,4.2858,4.2619,4.291,4.2674,4.2391,4.2814,4.3122,4.3617,4.4012,4.3707,4.4021,4.4119,4.435,4.4435,4.464,4.4709,4.476,4.4556,4.4607,4.4784,4.4827,4.5034,4.4568,4.4148,4.3815,4.3388,4.3595,4.3975,4.4277,4.4336,4.4015,4.4078,4.385,4.3914,4.4327,4.4472,4.4771,4.4893,4.5139,4.5231,,,
Stults Deborah,4.3632,4.3216,4.3654,4.414,4.451,4.4151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
